frame_number,capture_ts_ms,decode_ts_ms
894,1449343.314,21231.741
895,1449359.961,21248.689
896,1449376.694,21265.163
897,1449393.335,21282.218
898,1449410.059,21299.235
899,1449426.738,21315.335
900,1449443.391,21332.159
901,1449460.120,21349.274
902,1449476.763,21365.342
903,1449493.473,21382.027
904,1449510.120,21399.171
905,1449526.835,21415.391
906,1449543.488,21432.021
907,1449560.216,21448.881
908,1449576.851,21465.130
909,1449593.567,21481.888
910,1449610.222,21499.238
911,1449626.959,21517.282
912,1449643.634,21532.422
913,1449660.266,21548.968
914,1449677.018,21565.951
915,1449693.688,21581.963
916,1449710.367,21598.822
917,1449727.011,21616.007
918,1449743.725,21632.919
919,1449760.363,21648.777
920,1449777.086,21665.762
921,1449793.891,21682.949
922,1449810.537,21699.005
923,1449827.113,21716.040
924,1449843.827,21732.782
925,1449860.471,21748.947
926,1449877.193,21765.850
927,1449893.890,21782.629
928,1449910.521,21798.753
929,1449927.246,21816.002
930,1449943.886,21832.482
931,1449960.675,21849.863
932,1449977.341,21865.518
933,1449993.966,21882.172
934,1450010.680,21899.113
935,1450027.343,21916.170
936,1450043.993,21932.697
937,1450060.709,21949.988
938,1450077.351,21965.836
939,1450094.085,21982.777
940,1450110.764,21999.878
941,1450127.405,22015.929
942,1450144.135,22033.322
943,1450160.776,22049.153
944,1450177.544,22066.237
945,1450194.144,22083.233
946,1450210.879,22099.141
947,1450227.724,22116.608
948,1450244.436,22133.949
949,1450260.924,22149.787
950,1450277.604,22166.011
951,1450294.305,22182.594
952,1450310.974,22199.507
953,1450327.618,22216.885
954,1450344.334,22233.399
955,1450360.979,22249.494
956,1450377.703,22266.523
957,1450394.386,22282.757
958,1450411.041,22299.891
959,1450427.848,22317.011
960,1450444.462,22332.821
961,1450461.126,22349.723
962,1450477.765,22366.854
963,1450494.494,22382.702
964,1450511.124,22399.811
965,1450527.856,22416.781
966,1450544.502,22433.273
967,1450561.222,22450.412
968,1450577.852,22466.190
969,1450594.591,22483.259
970,1450611.266,22500.159
971,1450627.909,22517.335
972,1450644.594,22533.022
973,1450661.341,22550.106
974,1450678.014,22567.288
975,1450694.659,22583.168
976,1450711.370,22599.940
977,1450728.024,22617.258
978,1450744.742,22632.974
979,1450761.380,22650.213
980,1450778.099,22667.010
981,1450794.794,22683.115
982,1450811.661,22701.370
983,1450828.186,22716.835
984,1450844.806,22733.006
985,1450861.536,22750.142
986,1450878.207,22766.881
987,1450894.854,22784.007
988,1450911.573,22799.796
989,1450928.229,22817.060
990,1450944.957,22834.066
991,1450961.570,22849.920
992,1450978.314,22866.906
993,1450995.030,22883.767
994,1451011.643,22899.792
995,1451028.356,22916.913
996,1451045.008,22933.621
997,1451061.722,22951.300
998,1451078.371,22966.763
999,1451095.086,22983.840
1000,1451111.742,23000.777
1001,1451128.465,23016.875
1002,1451145.153,23033.648
1003,1451161.781,23051.152
1004,1451178.507,23067.883
1005,1451195.152,23083.687
1006,1451211.872,23100.587
1007,1451228.558,23117.721
1008,1451245.471,23135.172
1009,1451261.969,23150.877
1010,1451278.646,23167.778
1011,1451295.307,23183.707
1012,1451311.974,23200.582
1013,1451328.625,23217.429
1014,1451345.354,23234.861
1015,1451362.027,23250.482
1016,1451378.696,23269.492
1017,1451395.398,23284.704
1018,1451412.034,23300.466
1019,1451428.804,23317.466
1020,1451445.471,23334.591
1021,1451462.360,23351.534
1022,1451478.816,23367.440
1023,1451495.478,23384.348
1024,1451512.182,23401.375
1025,1451528.824,23417.388
1026,1451545.562,23434.336
1027,1451562.229,23451.444
1028,1451578.873,23467.259
1029,1451595.618,23483.886
1030,1451612.236,23501.282
1031,1451628.965,23519.283
1032,1451645.647,23534.814
1033,1451662.294,23550.618
1034,1451679.045,23567.398
1035,1451695.703,23583.899
1036,1451712.382,23600.768
1037,1451729.030,23617.893
